SourceFile	Instrument	SerialNumber	DeconvolutionEngine	StartTimeStamp	RTDuration	mzMLMS1Count	mzMLMSnCount	DeconvMSnWithPeaksCount	DeconvMSnWithoutPeaksCount	DeconvMSnWithPeaksFraction	Redundancy	HighestDegree	LargestComponentSize	ComponentCount	mzMLHCDCount	mzMLCIDCount	mzMLETDCount	mzMLECDCount	mzMLEThcDCount	mzMLETciDCount	mzMLPreZMin	mzMLPreZQ1	mzMLPreZQ2	mzMLPreZQ3	mzMLPreZMax	DeconvPreZMin	DeconvPreZQ1	DeconvPreZQ2	DeconvPreZQ3	DeconvPreZMax	DeconvPreMassMin	DeconvPreMassQ1	DeconvPreMassQ2	DeconvPreMassQ3	DeconvPreMassMax	mzMLPeakCountMin	mzMLPeakCountQ1	mzMLPeakCountQ2	mzMLPeakCountQ3	mzMLPeakCountMax	DeconvPeakCountMin	DeconvPeakCountQ1	DeconvPeakCountQ2	DeconvPeakCountQ3	DeconvPeakCountMax	AALinkCountMin	AALinkCountQ1	AALinkCountQ2	AALinkCountQ3	AALinkCountMax	TagLengthMin	TagLengthQ1	TagLengthQ2	TagLengthQ3	TagLengthMax	AALinkCountAbove2	TagLengthAbove2
LCA_11102018_APA_DS47_F5A_01_1E6	LTQ FT Ultra	LTQ40421	TopFD	2018-11-10T18:10:42Z	114.968445	2352	1557	1489	68	0.95632625	7.2214157E-06	2	4	1481	0	1557	0	0	0	0	3	10	15	18	25	0	11	18	22	30	697.24732	13224.4478	19976.0344	24267.39591	40717.27211	419	1243	2372	5946	10000	0	45	145	289	528	0	0	2	7	209	0	0	1	1	14	663	175
LCA_11102018_APA_DS47_F5A_01_3E6	LTQ FT Ultra	LTQ40421	TopFD	2018-11-11T16:13:31Z	115.01559	2043	1045	997	48	0.954067	2.819704E-05	3	4	985	0	1045	0	0	0	0	3	11	15	18	24	0	9	17	20	30	703.15277	11358.4996	19236.56068	21893.52432	37128.51827	431	2708	7354	10000	10000	0	106	279	349	568	0	2	9	24	218	0	1	2	3	22	734	343
LCA_11102018_APA_DS47_F5A_02_1E6	LTQ FT Ultra	LTQ40421	TopFD	2018-11-10T20:19:17Z	114.98815	2345	1555	1504	51	0.96720254	6.1932874E-06	3	4	1498	0	1555	0	0	0	0	5	10	15	17	25	0	11	17	21	30	696.65153	12681.29144	19769.61367	22943.42953	40143.69119	413	1142	2221	5478	10000	0	39	135	287	497	0	0	2	7	273	0	0	1	1	12	645	188
LCA_11102018_APA_DS47_F5A_02_3E6	LTQ FT Ultra	LTQ40421	TopFD	2018-11-11T18:22:11Z	114.96718	2051	1051	1009	42	0.96003807	4.522787E-05	3	4	991	0	1051	0	0	0	0	5	11	16	18	24	0	8	17	20	30	707.64352	10827.65493	19236.55962	21894.64873	41629.84391	434	2800	7763	10000	10000	0	115	287	351	546	0	2	10	24	257	0	1	2	4	16	723	363
LCA_11102018_APA_DS47_F6A_01_1E6	LTQ FT Ultra	LTQ40421	TopFD	2018-11-10T22:27:59Z	115.014656	2323	1561	1507	54	0.9654068	1.4980996E-05	3	5	1493	0	1561	0	0	0	0	3	7	9	17	24	0	8	18	23	30	696.65157	9861.07084	20639.73206	26099.85401	40443.37211	392	1017	1922	5482	10000	0	29	99	256	530	0	0	1	5	165	0	0	1	1	19	539	132
LCA_11102018_APA_DS47_F6A_01_3E6_4uSMS1	LTQ FT Ultra	LTQ40421	TopFD	2018-11-11T20:30:52Z	115.12389	2005	1072	1041	31	0.9710821	5.357275E-05	6	7	1017	0	1072	0	0	0	0	3	7	11	19	25	0	8	18	23	30	703.15135	9119.79603	20475.1429	25954.11387	39971.52851	442	2643	7355	10000	10000	0	103	266	406	552	0	1	6	16	162	0	1	1	2	17	691	257
LCA_11102018_APA_DS47_F6A_02_1E6_2uSMS2	LTQ FT Ultra	LTQ40421	TopFD	2018-11-11T00:36:40Z	114.94999	1896	794	768	26	0.9672544	0.0001188342	6	7	747	0	794	0	0	0	0	3	7	14	20	25	0	7	18	23	30	697.24727	7924.2947	20842.09718	26306.83631	40354.96953	418	962	1888	6359	10000	0	22	96	301	523	0	0	1	8	280	0	0	1	2	22	316	149
LCA_11102018_APA_DS47_F6A_02_3E6_8uSMS1_2uSMS2	LTQ FT Ultra	LTQ40421	TopFD	2018-11-11T22:39:34Z	115.28763	1637	540	523	17	0.9685185	0.0003150114	4	6	493	0	540	0	0	0	0	3	7	15	20	25	0	6	17	23	30	711.22664	7281.71342	20839.3827	25615.05178	38876.75831	442	3194	8648	10000	10000	0	90	276	412	516	0	2	9	27	257	0	1	2	4	19	372	193
LCA_11112018_APA_DS45_F8A_01_3E6	LTQ FT Ultra	LTQ40421	TopFD	2018-11-12T01:58:54Z	114.92008	1767	579	568	11	0.98100173	0.0002980848	5	7	543	0	579	0	0	0	0	3	6	9	13	21	0	10	19	25	30	726.13542	11199.27909	22177.35564	28581.85601	41636.69141	456	6346	10000	10000	10000	0	176	357	459	684	0	4	10	20	175	0	1	1	3	21	469	167
LCA_11112018_APA_DS45_F8A_02_3E6	LTQ FT Ultra	LTQ40421	TopFD	2018-11-12T04:07:33Z	115.050735	1724	577	565	12	0.97920275	0.00029498525	6	8	541	0	577	0	0	0	0	4	7	10	13	23	0	11	19	25	30	740.18809	11756.83854	21568.781	29122.64159	41636.68781	457	6205	10000	10000	10000	0	175	368	460	684	0	4	9	19	182	0	1	1	3	20	459	153
LCA_11122018_APA_DS48_CD34_C1F1_1p5E6_01	LTQ FT Ultra	LTQ40421	TopFD	2018-11-13T01:52:24Z	115.06886	2398	1768	1682	86	0.9513575	0.0014854416	74	122	1454	0	1768	0	0	0	0	3	7	8	11	19	0	7	8	11	29	701.08298	7125.57743	9701.07771	11389.76051	38124.12306	255	2188	3573	4611	8936	0	112	165	202	526	0	8	23	50	273	0	2	4	7	26	1464	1147
LCA_11122018_APA_DS48_CD34_C1F1_1p5E6_02	LTQ FT Ultra	LTQ40421	TopFD	2018-11-13T04:01:06Z	114.9796	2426	1786	1715	71	0.9602464	0.0025072205	95	142	1463	0	1786	0	0	0	0	3	7	9	11	19	0	6	8	11	30	716.04616	6938.90317	9720.21683	11397.90282	35654.50859	264	2106	3546	4598	8444	0	111	165	196	537	0	8	23	47	302	0	2	4	7	22	1455	1142
LCA_11122018_APA_DS48_CD34_C1F2_1p5E6_01	LTQ FT Ultra	LTQ40421	TopFD	2018-11-12T21:35:05Z	115.060326	2361	1645	1564	81	0.9507599	0.00022826456	14	32	1415	0	1645	0	0	0	0	4	8	11	13	21	0	8	11	14	29	703.15299	9242.12564	11691.07977	14689.13725	31956.41624	248	1696	3299	4616	8552	0	117	190	237	433	0	5	17	39	278	0	1	3	6	22	1291	924
LCA_11122018_APA_DS48_CD34_C1F2_1p5E6_02	LTQ FT Ultra	LTQ40421	TopFD	2018-11-12T23:43:45Z	115.046875	2359	1658	1589	69	0.9583836	0.00026948494	24	38	1450	0	1658	0	0	0	0	3	8	10	13	22	0	8	11	14	30	705.73871	9330.69882	11689.70494	14689.13596	37902.6677	236	1724	3334	4611	8698	0	118	189	237	523	0	5	16	38	288	0	1	3	6	33	1324	950
